Date,Open_AAPL,High_AAPL,Low_AAPL,Close_AAPL,Volume_AAPL,Open_TSLA,High_TSLA,Low_TSLA,Close_TSLA,Volume_TSLA,Open_GOOGL,High_GOOGL,Low_GOOGL,Close_GOOGL,Volume_GOOGL,Open_MSFT,High_MSFT,Low_MSFT,Close_MSFT,Volume_MSFT
2024-09-03,222.28077697753906,156.9715576171875,407.80438232421875,210.60000610351562,228.49709095305272,161.45047953659505,418.20267931936957,219.89999389648438,220.68428466242796,156.0937250254868,405.4040060811421,209.63999938964844,228.04808224732741,161.3207955706967,416.2405478075573,215.25999450683594,50190600,38945300,20313600,76714200
2024-09-04,220.36500549316406,156.06381225585938,407.26654052734375,219.41000366210938,221.29295584608857,158.60752082271256,409.5971891641853,222.22000122070312,217.0023958735564,155.57503152440304,402.7546379619835,210.57000732421875,221.17322424578342,156.2733005844292,404.2884945573242,210.58999633789062,43840200,19353800,15135800,80651800
2024-09-05,221.89163208007812,156.85186767578125,406.75860595703125,230.1699981689453,224.98481497811864,159.05640389536052,411.4497822581618,235.0,221.03352013282222,155.59496817105187,404.50762432491115,222.25,221.14327916881817,155.9141855757843,405.9916624475026,223.49000549316406,36615400,18688700,14195500,119355000
2024-09-06,220.3350830078125,150.54745483398438,400.0953369140625,210.72999572753906,224.74537478911404,157.44040127478374,409.00956601687597,233.60000610351562,219.28738577978086,150.17837304317212,399.1989078370585,210.50999450683594,223.4581991238727,156.91171078806016,407.42592125419515,232.60000610351562,48423000,37912100,19609500,112177000
2024-09-09,220.42486572265625,148.53976440429688,404.0992431640625,216.27000427246094,220.7840757397734,153.2243825181643,407.01753119323797,219.8699951171875,216.23409233980902,147.05146466034253,400.5434971977151,213.6699981689453,220.33506702469683,152.3354019943942,405.6131601713445,216.1999969482422,67180000,39260500,15295100,67443500
2024-09-10,219.6266326904297,148.4898223876953,412.5453796386719,226.1699981689453,220.99361925876318,151.0968351518263,414.66684525245614,226.39999389648438,216.25405039598212,148.17018139774882,406.0713456246143,218.63999938964844,218.4392435287618,150.27776654607942,406.56934824108026,220.07000732421875,51591000,31118800,19594300,78891100
2024-09-11,222.1710205078125,150.98695373535156,421.3500671386719,228.1300048828125,222.6000688776049,151.3265608410383,422.29625388353406,228.47000122070312,217.4114916314568,147.35112146407118,407.9438146629927,216.8000030517578,220.9736588702828,149.7483678165099,413.84017908445105,224.5500030517578,44587100,29607700,19266900,83548600
2024-09-12,222.28077697753906,154.51292419433594,425.29425048828125,229.80999755859375,223.059062794204,154.64278025669208,425.6627675750461,231.4499969482422,219.33725854525207,152.4752509078758,418.07321227741465,223.8300018310547,222.01136566399225,153.623943613462,421.6189886086143,224.66000366210938,37498200,29695000,17418800,72020000
2024-09-13,222.01138305664062,157.27975463867188,428.869873046875,230.2899932861328,223.5479944694599,158.19869964127616,430.1049097614262,232.6699981689453,221.42268236911949,155.0323303223496,423.7603615358477,226.32000732421875,223.08901316997165,155.25206445570748,424.12887859450143,228.0,36766600,29591200,15874600,59515100
2024-09-16,215.84495544433594,157.87905883789062,429.61688232421875,226.77999877929688,216.74297289953918,158.06884377455685,431.79813615912246,229.9600067138672,213.4502168549942,156.42073870376782,426.50935094179886,223.52999877929688,216.0644583037111,157.12991739820077,428.879848197679,229.3000030517578,59357400,18379800,13834700,54323000
